file_name,party1,party1_iso,party2,party2_iso,treatytype,status,dateofsignature,dateofentryintoforce,treatyfulltext,iiacontent,facilitationcontent,originallymapped,mappedby,preamble_rightreg,preamble_sustdev,preamble_soc,preamble_env,inv_typedef,inv_exclportfolio,inv_exclother,inv_listscharacteristics,cont_host_laws_req,inv_closedlist,def_invest_inc,inc_permres,exc_dualnat,inc_reqsubbusact,def_owncontlegent,dob_clause,dob_substbusiness,dob_traderestr,dob_discr_mand,scope_excltax,scope_exclsubs,scope_exclgovprocure,scope_exclother,inv_cov,disp_cov,nt_type,nt_like,mfn_type,eco_intagr,tax_treat,mfn_excep_isds_substance,fet_type,fet_refintlaw,fet_list,fet_modify,fullprotsec,prohib_arb_disc_meas,exprop_scope,exprop_indirectdef,exprop_carveoutreg,carveout_complicwto,rel_rightcomp,abs_rightcompcercirc,inc_transffunds,balance_payexcep,other_specexcep,inc_prohibprs,prclause_type,umbr_clause,entry_sojpers,sen_mngment,dir_states,dir_inv,mention_healthenv,mention_labstd,mention_rightreg,mention_csr,mention_corrupt,mention_notlowstd,subrclause,nonderogclause,ref_specpromoact,security_incl,security_def,security_selfdef,exception_healthenv,exception_other,prud_carveout,sched_reservations,ssds,isds,alt_arbit,scope_claimsgenapproach,isds_limitprovisions,isds_limitareas,spec_mechtaxprudmeas,typeconsentarb,isds_domcourt,isds_icsid,isds_unicitral,isds_other,rel_betfor,lim_persubclaims,prov_meas,cons_claims,lim_rem,affirms_bindintcontpart,req_certquestsub,reg_subnondisp,req_docpubavail,req_hearopenpublic,reg_amicuscuriaesub,mech_consstatepart,inst_framework,tech_coop,years_inittreatyterm,auto_renew,term_unilat,length_noticeper,inc_modamendreneg,term_sunsetlength,iia_content,facilitation_content,short_title,treaty_invchptxt,treaty_about,digit_elec_publication,digit_elec_application,digit_elec_payment,digit_entry_online_info,digit_supplier_db,invfac_type_chapters,trans_inv_chapters,trans_pub_scope,trans_elec_pub,trans_pub_proposed,trans_comment_proposed,trans_inquiry_mechs,trans_pub_exceptions,trans_subject_adr,trans_subject_isds,admin_indep_authority,admin_impartial,admin_appeal_review,stream_proc_chapters,stream_proc_type,stream_proc_covered,stream_avoid_multi_apps,stream_proc_time_fees,stream_proc_requirements,stream_elec_application,stream_elec_payment,stream_subject_adr,stream_subject_isds,regprac_chapters,regprac_type,regprac_measures,regprac_interagency,regprac_impact_assess,regprac_periodic_review,regprac_transparency,regprac_cooperation,regprac_subject_adr,regprac_subject_isds,entry_stay_chapters,entry_stay_type,entry_stay_persons,entry_stay_transparency,entry_stay_streamlining,entry_stay_online_info,entry_stay_liberalize,entry_stay_subject_adr,entry_stay_subject_isds,profac_sustinv_activities,profac_sustinv_types,inveng_focal_info,inveng_focal_advisory,inveng_supplier_db,facdvp_inst_framework,facdvp_monitoring,facdvp_agency_coop,facdvp_special_diff_treat,facdvp_tech_assistance,date_termination,type_termination,add_notes,protective,fdi_pos_1_to_2_c,fdi_pos_2_to_1_c,ext_bd_c_party1,ext_bd_c_party2,t_treaties,ldc_party1,megaBD_party1,oecd_party1,ldc_party2,megaBD_party2,oecd_party2
"Venezuela, Bolivarian Republic of - Viet Nam BIT (2008) ",bolivarian republic of venezuela,VEN,vietnam,VNM,Bilateral Investment Treaties,In force,20/11/2008,17/06/2009,es,Mapped,Not mapped,03-2015,University of Buenos Aires (Argentina),No,No,No,No,Asset-based definition,No,No,No,Yes,No,Yes,No,No,No,No,No,Not applicable,Not applicable,Not applicable,No,No,No,No,Applies to both pre-existing and post-BIT investments,Carves out pre-existing disputes,None,No,Post-establishment,Yes,Yes,No,FET unqualified,None,No,None,Standard,Yes,Indirect expropriation not mentioned,No,No,No,MFN and NT,Yes,Yes,No,No,No explicit PR clause,Not applicable,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,Not applicable,Not applicable,No,No,No,None,Yes,Yes,None,Covers any dispute relating to investment,No,No,No,Provides express or implied consent,Yes,No,Yes,No,"""Fork in the road""",No,No,No,No,No,No,No,No,No,No,No,No,No,10 years,Indefinite term,Yes,One year prior notice,No,10 years,                     mapped                  ,                     not mapped                  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0.4123309793138981,0.24770778292532572,0,0,1,0,0,0,0
Uruguay - Viet Nam BIT (2009) ,uruguay,URY,vietnam,VNM,Bilateral Investment Treaties,In force,12/05/2009,09/09/2012,es | vi,Mapped,Not mapped,02-2015,Boston College (United States); King’s College London School of Law (United Kingdom),No,No,No,No,Asset-based definition,No,Yes,No,Yes,No,Yes,No,No,No,No,No,Not applicable,Not applicable,Not applicable,Yes,Yes,Yes,Yes,Applies to post-BIT investments only,Carves out pre-existing disputes,None,Not applicable,Post-establishment,Yes,Yes,Procedural issues (ISDS),FET unqualified,None,No,None,Standard,No,Indirect expropriation not mentioned,No,No,No,MFN and NT,No,Yes,No,Yes,No explicit PR clause,Not applicable,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,Not applicable,Not applicable,No,No,No,None,Yes,Yes,None,Covers treaty claims only,Yes,No,No,Provides express or implied consent,Yes,Yes,Yes,Yes,"""Fork in the road""",Yes,No,No,No,No,No,No,No,No,No,No,No,No,10 years,Indefinite term,Yes,One year prior notice,No,10 years,                     mapped                  ,                     not mapped                  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0.010964972083712696,0.24770778292532572,0,0,0,0,0,0,0
"Uruguay - Venezuela, Bolivarian Republic of BIT (1997) ",uruguay,URY,bolivarian republic of venezuela,VEN,Bilateral Investment Treaties,In force,20/05/1997,18/01/2002,es,Mapped,Not mapped,10-2016,University of Buenos Aires (Argentina); London School of Economics and Political Science (United Kingdom),No,No,No,No,Asset-based definition,No,No,No,No,No,Yes,No,No,No,Yes,No,Not applicable,Not applicable,Not applicable,No,No,No,No,Applies to both pre-existing and post-BIT investments,Carves out pre-existing disputes,Post-establishment,Yes,Post-establishment,Yes,Yes,No,FET qualified,International law / principles of international law,No,None,Standard,Yes,Indirect expropriation mentioned,No,No,No,MFN and NT,No,Yes,No,No,No explicit PR clause,Not applicable,Yes,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,Not applicable,Not applicable,No,No,No,None,Yes,Yes,Voluntary ADR (conciliation / mediation),Covers any dispute relating to investment,No,No,No,Provides express or implied consent,Yes,Yes,Yes,Yes,Inconclusive,No,No,No,No,No,No,No,No,No,No,No,No,No,10 years,Indefinite term,Yes,One year prior notice,No,10 years,                     mapped                  ,                     not mapped                  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0.010964972083712696,0.4123309793138981,0,0,0,0,0,1,0
United States - Uruguay BIT (2005) ,united states,USA,uruguay,URY,Bilateral Investment Treaties,In force,04/11/2005,01/11/2006,en | es,Mapped,Not mapped,,Xiamen University School of Law (China); Hacettepe University Faculty of Law (Turkey),No,No,Yes,Yes,Asset-based definition,No,Yes,Yes,No,No,Yes,No,No,No,No,Yes,Yes,Yes,Unilaterally discretionary,Yes,Yes,Yes,No,Applies to both pre-existing and post-BIT investments,Carves out pre-existing disputes,Pre- and post-establishment,Yes,Pre- and post-establishment,Yes,Yes,No,FET qualified,CIL/minimum standard of treatment,Indicative list,None,Standard,Yes,Indirect expropriation mentioned,Yes,Yes,Yes,MFN only,Yes,Yes,No,Yes,Explicit PR clause,List of prohibited PRs,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,No,Yes,No,Yes,No,No,Yes,Negative-list reservations,Yes,Yes,Voluntary ADR (conciliation / mediation),Lists specific bases of claim beyond treaty (e.g. contractual disputes),No,No,Yes,Provides express or implied consent,No,Yes,Yes,Yes,"""No U turn"" (waiver clause)",Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,No,10 years,Indefinite term,Yes,One year prior notice,No,10 years,                     mapped                  ,                     not mapped                  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0.49306901878641957,0.010964972083712696,0,0,1,1,0,0,0
United Republic of Tanzania - United Kingdom BIT (1994) ,united republic of tanzania,TZA,united kingdom,GBR,Bilateral Investment Treaties,In force,07/01/1994,02/08/1996,en,Mapped,Not mapped,11-2016,National University of La Plata (Argentina); Xi'an Jiaotong University (China),No,No,No,No,Asset-based definition,No,No,No,Yes,No,Yes,No,No,No,No,No,Not applicable,Not applicable,Not applicable,No,No,No,No,Not stipulated,Not stipulated,Post-establishment,No,Post-establishment,Yes,Yes,No,FET unqualified,None,No,None,Standard,Yes,Indirect expropriation mentioned,No,No,No,MFN and NT,Yes,Yes,No,No,No explicit PR clause,Not applicable,Yes,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,Not applicable,Not applicable,No,No,No,None,Yes,Yes,None,Covers any dispute relating to investment,No,No,No,Provides express or implied consent,Yes,Yes,No,No,No reference,No,No,No,No,No,No,No,No,No,No,No,No,No,10 years,Indefinite term,Yes,One year prior notice,No,20 years,                     mapped                  ,                     not mapped                  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,27.491376769494366,0.28173228284001783,0.0015730717502082986,0,1,0,0,0,0,1
United Republic of Tanzania - Turkey BIT (2011) ,united republic of tanzania,TZA,turkiye,TUR,Bilateral Investment Treaties,In force,11/03/2011,03/01/2017,en,Mapped,Mapped,03-2025,UNCTAD,No,No,No,No,Asset-based definition,Yes,No,No,Yes,No,Yes,No,No,Yes,No,No,Not applicable,Not applicable,Not applicable,No,No,No,No,Applies to both pre-existing and post-BIT investments,Carves out pre-existing disputes,Post-establishment,Yes,Post-establishment,Yes,Yes,Procedural issues (ISDS),FET qualified,CIL/minimum standard of treatment,No,None,Standard,Yes,Indirect expropriation mentioned,No,Yes,No,MFN and NT,No,Yes,Yes,No,No explicit PR clause,Not applicable,No,Yes,No,No,No,Yes,No,No,No,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,No,None,Yes,Yes,None,Covers any dispute relating to investment,No,Yes,No,Provides express or implied consent,Yes,Yes,Yes,No,"""Fork in the road""",No,No,No,No,No,No,No,No,No,No,No,No,No,10 years,Indefinite term,Yes,One year prior notice,Yes,10 years,                     mapped                  ,                     mapped                  ,,,The IIA Mapping Project,No,No,No,No,No,Individual provision(s),No,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,No,No,No,No,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,No,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Individual provision(s),Hortatory reference,Express reference to investors/investment activities,No,No,No,No,No,Yes both,No,No,No,No,No,No,No,No,No,No,,,,0,,2.18,0.28173228284001783,0.030452314064232402,0,1,0,0,0,0,1
United Kingdom - Yemen BIT (1982) ,united kingdom,GBR,yemen,YEM,Bilateral Investment Treaties,In force,25/02/1982,11/11/1983,en,Mapped,Not mapped,03-2016,University of Lausanne (Switzerland); Boston College (United States),No,No,No,No,Asset-based definition,No,No,No,No,No,Yes,No,No,No,No,No,Not applicable,Not applicable,Not applicable,No,No,No,No,Not stipulated,Not stipulated,Post-establishment,No,Post-establishment,Yes,Yes,No,FET unqualified,None,No,None,No clause,Yes,Indirect expropriation mentioned,No,No,No,MFN and NT,Yes,Yes,Yes,No,No explicit PR clause,Not applicable,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,Not applicable,Not applicable,No,No,No,None,Yes,Yes,Voluntary ADR (conciliation / mediation),Covers any dispute relating to investment,No,No,No,Provides express or implied consent,No,No,No,No,No reference,No,No,No,No,No,No,No,No,No,No,No,No,No,10 years,Indefinite term,Yes,One year prior notice,No,10 years,                     mapped                  ,                     not mapped                  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,0.0015730717502082986,0.01783464991249273,0,0,0,1,1,0,0
United Kingdom - Viet Nam BIT (2002) ,united kingdom,GBR,vietnam,VNM,Bilateral Investment Treaties,In force,01/08/2002,01/08/2002,en | vi,Mapped,Not mapped,02-2013,King’s College London School of Law (United Kingdom); National University of La Plata (Argentina),No,No,No,No,Asset-based definition,No,No,No,No,No,Yes,No,No,No,No,No,Not applicable,Not applicable,Not applicable,No,No,No,No,Not stipulated,Not stipulated,Post-establishment,No,Post-establishment,Yes,Yes,No,FET unqualified,None,No,None,Standard,Yes,Indirect expropriation mentioned,No,No,No,MFN and NT,Yes,Yes,No,No,No explicit PR clause,Not applicable,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,None,Yes,Yes,None,Covers treaty claims only,No,No,No,Provides express or implied consent,No,Yes,Yes,No,No reference,No,No,No,No,No,No,No,No,No,No,No,No,No,10 years,Indefinite term,Yes,One year prior notice,No,20 years,                     mapped                  ,                     not mapped                  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,324.72341880928,,0.0015730717502082986,0.24770778292532572,0,0,0,1,0,0,0
"United Kingdom - Venezuela, Bolivarian Republic of BIT (1995) ",united kingdom,GBR,bolivarian republic of venezuela,VEN,Bilateral Investment Treaties,In force,15/03/1995,01/08/1996,en | es,Mapped,Not mapped,11-2016,Hacettepe University Faculty of Law (Turkey); Federal University of Paraíba (Brazil),No,No,No,No,Asset-based definition,No,No,No,No,No,Yes,No,No,No,No,No,Not applicable,Not applicable,Not applicable,No,No,No,No,Applies to both pre-existing and post-BIT investments,Carves out pre-existing disputes,Post-establishment,No,Post-establishment,Yes,Yes,No,FET qualified,International law / principles of international law,No,None,Standard,Yes,Indirect expropriation mentioned,No,No,No,MFN and NT,No,Yes,No,No,No explicit PR clause,Not applicable,Yes,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,Not applicable,Not applicable,No,No,No,None,Yes,Yes,None,Covers any dispute relating to investment,No,No,No,Provides express or implied consent,No,Yes,Yes,No,No reference,No,No,No,No,No,No,No,No,No,No,No,No,No,10 years,Indefinite term,Yes,One year prior notice,No,15 years,                     mapped                  ,                     not mapped                  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,-19.505122027799004,,0.0015730717502082986,0.4123309793138981,0,0,0,1,0,1,0
United Kingdom - Uzbekistan BIT (1993) ,united kingdom,GBR,uzbekistan,UZB,Bilateral Investment Treaties,In force,24/11/1993,24/11/1993,en | uz,Mapped,Not mapped,11-2016,Korea University Law School (South Korea); University of Mauritius (Mauritius),No,No,No,No,Asset-based definition,No,No,No,No,No,Yes,No,No,No,No,No,Not applicable,Not applicable,Not applicable,No,No,No,No,Applies to both pre-existing and post-BIT investments,Not stipulated,Post-establishment,No,Post-establishment,Yes,Yes,No,FET unqualified,None,No,None,Standard,Yes,Indirect expropriation mentioned,No,No,No,MFN and NT,Yes,Yes,No,No,No explicit PR clause,Not applicable,Yes,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,Not applicable,Not applicable,No,No,No,None,Yes,Yes,None,Covers treaty claims only,No,No,No,Provides express or implied consent,No,Yes,Yes,Yes,No reference,No,No,No,No,No,No,No,No,No,No,No,No,No,10 years,Indefinite term,Yes,One year prior notice,No,20 years,                     mapped                  ,                     not mapped                  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,0.0015730717502082986,0.0017740676457665434,0,0,0,1,0,0,0
United Kingdom - Uruguay BIT (1991) ,united kingdom,GBR,uruguay,URY,Bilateral Investment Treaties,In force,21/10/1991,01/08/1997,en | es,Mapped,Not mapped,05-2014,University of Buenos Aires (Argentina); Xiamen University School of Law (China),No,No,No,No,Asset-based definition,No,No,No,No,No,Yes,No,Yes,No,No,No,Not applicable,Not applicable,Not applicable,No,No,No,No,Applies to both pre-existing and post-BIT investments,Carves out pre-existing disputes,Post-establishment,No,Post-establishment,Yes,Yes,No,FET unqualified,None,No,None,With reference to domestic law,Yes,Indirect expropriation mentioned,No,No,No,MFN and NT,No,Yes,No,No,No explicit PR clause,Not applicable,Yes,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,Not applicable,Not applicable,No,No,No,None,Yes,Yes,None,Covers any dispute relating to investment,No,No,No,Provides express or implied consent,Yes,Yes,Yes,No,Local remedies first,No,No,No,No,No,No,No,No,No,No,No,No,No,10 years,Indefinite term,Yes,One year prior notice,No,20 years,                     mapped                  ,                     not mapped                  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,205.67487719788997,,0.0015730717502082986,0.010964972083712696,0,0,0,1,0,0,0
United Arab Emirates - Zimbabwe BIT (2018) ,united arab emirates,ARE,zimbabwe,ZWE,Bilateral Investment Treaties,In force,16/06/2018,07/02/2021,en,Mapped,Mapped,08-2024,UNCTAD,No,No,No,No,Asset-based definition,No,Yes,No,Yes,No,Yes,No,No,No,Yes,Yes,Yes,Yes,Mandatory,No,No,No,No,Applies to both pre-existing and post-BIT investments,Carves out pre-existing disputes,Post-establishment,No,Post-establishment,Yes,Yes,Procedural issues (ISDS),FET qualified,None,Exhaustive list,None,With reference to domestic law,Yes,Indirect expropriation mentioned,No,No,No,MFN and NT,Yes,Yes,No,Yes,Explicit PR clause,List of prohibited PRs,Yes,No,No,Yes,No,Yes,Yes,No,No,No,Yes,Yes,No,No,No,Not applicable,Not applicable,No,No,No,Negative-list reservations,Yes,Yes,None,Covers any dispute relating to investment,No,No,No,Provides express or implied consent,No,Yes,Yes,No,No reference,No,No,No,No,No,No,No,No,No,No,Yes,No,No,10 years,10 years,Yes,One year prior notice,Yes,10 years,                     mapped                  ,                     mapped                  ,,,The IIA Mapping Project,No,No,No,No,No,Individual provision(s),Individual provision(s),All measures under IIA,No,No,No,No,Yes other/broader,No,Yes both,No,No,No,No,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,No,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,No,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,No,No,No,No,No,No,No,No,No,No,,,,0,,,0.0016484975297163037,0.021182305897689775,0,0,0,0,0,0,0
United Arab Emirates - Uzbekistan BIT (2007) ,united arab emirates,ARE,uzbekistan,UZB,Bilateral Investment Treaties,In force,26/10/2007,27/03/2011,en | ar | uz,Mapped,Not mapped,04-2013,Korea University Law School (South Korea); Hacettepe University Faculty of Law (Turkey),No,No,No,No,Asset-based definition,No,No,No,Yes,No,Yes,No,No,No,No,No,Not applicable,Not applicable,Not applicable,No,No,No,No,Applies to both pre-existing and post-BIT investments,Carves out pre-existing disputes,Post-establishment,Inconclusive,Post-establishment,Yes,Yes,No,FET unqualified,None,No,None,Standard,Yes,Indirect expropriation mentioned,No,No,No,MFN and NT,Yes,Yes,No,No,No explicit PR clause,Not applicable,Yes,Yes,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,Not applicable,Not applicable,No,No,No,None,Yes,Yes,None,Covers any dispute relating to investment,No,No,No,Provides express or implied consent,Yes,Yes,No,No,Local remedies first,No,No,No,No,No,No,No,No,No,No,Yes,No,No,10 years,5 years,Yes,One year prior notice,Yes,10 years,                     mapped                  ,                     not mapped                  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,0.0016484975297163037,0.0017740676457665434,0,0,0,0,0,0,0
